"1961";"33";"Monti, Angelina";"IWAN IWANOWITSCH"
"1961";"34";"Ping Ping";"SUCU SUCU"
"1961";"35";"Blue Diamonds, The";"RAMONA"
"1961";"36";"Presley, Elvis";"WOODEN HEART"
"1961";"37";"Los Machucambos";"PEPITO"
"1961";"38";"Blue Diamonds, The";"SAVE THE LAST DANCE FOR ME"
"1961";"39";"Forsell, Johnny";"ANGELIQUE"
"1961";"40";"Robertino";"JAMAICA"
"1961";"41";"Rantanen, Tuula-Anneli";"HAAVEILUA"
"1961";"42";"Boone, Pat";"MOODY RIVER"
"1961";"43";"Kekkonen, Vieno";"TÄHTIEN KERTOMAA"
"1961";"44";"Valente, Caterina";"SUCU SUCU"
"1961";"45";"Heinivaho, Matti";"ANGELIQUE"
"1961";"46";"Rautavaara, Tapio";"EXODUS"
"1961";"47";"Tähti, Annikki";"PUSTAN POIKA"
"1961";"48";"Darin, Bobby";"NATURE BOY"
"1961";"49";"Robertino";"TORNA A SURRIENTO"
"1961";"50";"Helismaa, Reino";"REILUSTI VAAN"
"1961";"51";"Lille Gerhard";"DEN SISTE MOHIKANEN"
"1961";"52";"Allisons, The";"ARE YOU SURE"
"1961";"53";"Presley, Elvis";"LITTLE SISTER"
"1961";"54";"Mannola, Pirkko";"KUINKA RAKKAUS ALKOI"
"1961";"55";"Lessig, Maria";"BRIGITTE BARDOT"
"1961";"56";"Saukki ja Oravat";"SAUKKI-SEDÄN LASTENTUNTI"
"1961";"57";"Kinnunen, Laila";"TIETÄÄ TÄHTI JOKAINEN"
"1961";"58";"Karpiomaa, Seija";"NOVGORODIN RUUSU"
"1961";"59";"Kuusisto, Mauno";"VOLGALAULU"
"1961";"60";"Robertino";"ROMANINA DEL BAION"
"1961";"61";"Damita Jo";"DO WHAT YOU WANT"
"1961";"62";"Anka, Paul";"TRAIN OF LOVE"
"1961";"63";"Järvinen, Seija";"PORTINVARTIJA"
"1961";"64";"Virta, Olavi";"VIHREÄT NIITYT"
"1961";"65";"Lyytinen, Jorma";"TURKKILAINEN TANGO"
"1961";"66";"Ferrante & Teicher";"EXODUS"
"1961";"67";"Sirén, Maynie";"IWAN IWANOWITSCH"
"1961";"68";"Wiklund, Gunnar";"ROMANTICA"
"1961";"69";"Avalon, Frankie";"THE GREEN LEAVES OF SUMMER"
"1961";"70";"Monn Keys, The";"Å! MARIA! JAG VILL HEM!"
"1961";"71";"Pekkala, Rauni ja Neloset";"TÄHTIEN KERTOMAA"
"1961";"72";"Sinatra, Frank";"GRANADA"
"1961";"73";"Tippavaaran isäntä";"PITKÄ MATKA ON TIPPAVAARAAN"
"1961";"74";"Anka, Paul";"CINDERELLA"
"1961";"75";"Piaf, Edith";"EXODUS"
"1962";"1";"Tuomi, Veikko";"SABINA"
"1962";"2";"Tuomi, Veikko";"MUSTA RUUSU"
"1962";"3";"Petersen, Lill-Jörgen";"BOULEVARD OF BROKEN DREAMS"
"1962";"4";"Adams, Ray";"VIOLETTA"
"1962";"5";"Ann-Christine ja Four Cats";"LALAIKA"
"1962";"6";"Cole, Nat King";"CAPPUCCINA"
"1962";"7";"Hyland, Brian";"SEALED WITH A KISS"
"1962";"8";"Marion";"TIPI-TII"
"1962";"9";"Forsell, Johnny";"ESPERANZA"
"1962";"10";"Richard, Cliff & The Shadows";"THE YOUNG ONES"
"1962";"11";"Charles, Ray";"I CAN'T STOP LOVING YOU"
"1962";"12";"Van Dyke, Leroy";"WALK ON BY"
"1962";"13";"Como, Perry";"CATERINA"
"1962";"14";"Williams, Jerry";"TWISTIN' PATRICIA"
"1962";"15";"Vainio, Oili";"TANSSIN SUN KANSSASI AAMUUN"
"1962";"16";"Boone, Pat";"SPEEDY GONZALES"
"1962";"17";"Grön, Eino";"SUUDELMIN SULJETUT KIRJEET"
"1962";"18";"Ross, Jack";"HAPPY JOSÉ (CHING CHING)"
"1962";"19";"Marion";"OI JAAKKO"
"1962";"20";"Cole, Nat King";"RAMBLIN' ROSE"
"1962";"21";"Kinnunen, Laila";"BRIGITTE BARDOT"
"1962";"22";"Pienimäki, Eila";"ÄLÄ LÄHDE POIS"
"1962";"23";"Tippavaaran isäntä";"PIGALLE"
"1962";"24";"Pekkala, Rauni";"VIRTANEN (TANGO RUOHIKOLLA)"
"1962";"25";"Forsell, Johnny";"VIOLETTA / SORIA MORIA"
"1962";"26";"Checker, Chubby";"LET'S TWIST AGAIN"
"1962";"27";"Collier, Jack Orchestra";"CHING CHING (HAPPY JOSÉ)"
"1962";"28";"Four Cats";"PAINU POIS JACK"
"1962";"29";"Charles, Ray";"HIT THE ROAD JACK"
"1962";"30";"Tuula ja Paula";"BELLA"
"1962";"31";"Ping Ping";"ESPERANZA"
"1962";"32";"Leyton, John";"JOHNNY REMEMBER ME"
"1962";"33";"Froboess, Conny";"ZWEI KLEINE ITALIENER"
"1962";"34";"Darin, Bobby";"MULTIPLICATION"
"1962";"35";"Pellinen, Eila";"SÄRKYNEEN TOIVEEN KATU"
"1962";"36";"Kinnunen, Laila";"MANDSHURIAN KUMMUT"
"1962";"37";"Boone, Pat";"QUANDO QUANDO QUANDO"
"1962";"38";"Presley, Elvis";"GOOD LUCK CHARM"
"1962";"39";"Koivunen, Brita";"HAUSKA JOSÉ"
"1962";"40";"Burgers, Jan";"LALAIKA"
"1962";"41";"Vostok All Stars, The";"UUSI SÄKKIJÄRVEN POLKKA"
"1962";"42";"Marion";"BRIGITTE BARDOT"
"1962";"43";"Wendland, Gerhard";"TANZE MIT MIR IN DEN MORGEN"
"1962";"44";"Tornados, The";"TELSTAR"
"1962";"45";"Damita Jo";"DANCE WITH A DOLLY"
"1962";"46";"Hyland, Brian";"GINNY COME LATELY"
"1962";"47";"Tammi, Taisto";"RUUSU ON PUNAINEN"
"1962";"48";"Lindblom, Anita";"SÅNT ÄR LIVET"
"1962";"49";"Presley, Elvis";"SHE'S NOT YOU"
